data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 26.887547
Epoch 10/1000 | Avg Loss: 1.371529
Epoch 20/1000 | Avg Loss: 0.819994
Epoch 30/1000 | Avg Loss: 0.599870
Epoch 40/1000 | Avg Loss: 0.462376
Epoch 50/1000 | Avg Loss: 0.383914
Epoch 60/1000 | Avg Loss: 0.339758
Epoch 70/1000 | Avg Loss: 0.357063
Epoch 80/1000 | Avg Loss: 0.334236
Epoch 90/1000 | Avg Loss: 0.322286
Epoch 100/1000 | Avg Loss: 0.265868
Epoch 110/1000 | Avg Loss: 0.295828
Epoch 120/1000 | Avg Loss: 0.249605
Epoch 130/1000 | Avg Loss: 0.263725
Epoch 140/1000 | Avg Loss: 0.284774
Epoch 150/1000 | Avg Loss: 0.297015
Epoch 160/1000 | Avg Loss: 0.274340
Epoch 170/1000 | Avg Loss: 0.220968
Epoch 180/1000 | Avg Loss: 0.245624
Epoch 190/1000 | Avg Loss: 0.259540
Epoch 200/1000 | Avg Loss: 0.230612
Epoch 210/1000 | Avg Loss: 0.286632
Epoch 220/1000 | Avg Loss: 0.211295
Epoch 230/1000 | Avg Loss: 0.206465
Epoch 240/1000 | Avg Loss: 0.252558
Epoch 250/1000 | Avg Loss: 0.202859
Epoch 260/1000 | Avg Loss: 0.221711
Epoch 270/1000 | Avg Loss: 0.222444
Epoch 280/1000 | Avg Loss: 0.195983
Epoch 290/1000 | Avg Loss: 0.238939
Epoch 300/1000 | Avg Loss: 0.205889
Epoch 310/1000 | Avg Loss: 0.233927
Epoch 320/1000 | Avg Loss: 0.177844
Epoch 330/1000 | Avg Loss: 0.163669
Epoch 340/1000 | Avg Loss: 0.187409
Epoch 350/1000 | Avg Loss: 0.219162
Epoch 360/1000 | Avg Loss: 0.165371
Epoch 370/1000 | Avg Loss: 0.150606
Epoch 380/1000 | Avg Loss: 0.216034
Epoch 390/1000 | Avg Loss: 0.193058
Epoch 400/1000 | Avg Loss: 0.161726
Epoch 410/1000 | Avg Loss: 0.210341
Epoch 420/1000 | Avg Loss: 0.189967
Epoch 430/1000 | Avg Loss: 0.208358
Epoch 440/1000 | Avg Loss: 0.205441
Epoch 450/1000 | Avg Loss: 0.155542
Epoch 460/1000 | Avg Loss: 0.149527
Epoch 470/1000 | Avg Loss: 0.185724
Epoch 480/1000 | Avg Loss: 0.182807
Epoch 490/1000 | Avg Loss: 0.143130
Epoch 500/1000 | Avg Loss: 0.162323
Epoch 510/1000 | Avg Loss: 0.150615
Epoch 520/1000 | Avg Loss: 0.134333
Epoch 530/1000 | Avg Loss: 0.125611
Epoch 540/1000 | Avg Loss: 0.127534
Epoch 550/1000 | Avg Loss: 0.158732
Epoch 560/1000 | Avg Loss: 0.161923
Epoch 570/1000 | Avg Loss: 0.127320
Epoch 580/1000 | Avg Loss: 0.126378
Epoch 590/1000 | Avg Loss: 0.146702
Epoch 600/1000 | Avg Loss: 0.144279
Epoch 610/1000 | Avg Loss: 0.136692
Epoch 620/1000 | Avg Loss: 0.098483
Epoch 630/1000 | Avg Loss: 0.158381
Epoch 640/1000 | Avg Loss: 0.111275
Epoch 650/1000 | Avg Loss: 0.130866
Epoch 660/1000 | Avg Loss: 0.146799
Epoch 670/1000 | Avg Loss: 0.148643
Epoch 680/1000 | Avg Loss: 0.100041
Epoch 690/1000 | Avg Loss: 0.111393
Epoch 700/1000 | Avg Loss: 0.109950
Epoch 710/1000 | Avg Loss: 0.125722
Epoch 720/1000 | Avg Loss: 0.102241
Epoch 730/1000 | Avg Loss: 0.110702
Epoch 740/1000 | Avg Loss: 0.127495
Epoch 750/1000 | Avg Loss: 0.110440
Epoch 760/1000 | Avg Loss: 0.125125
Epoch 770/1000 | Avg Loss: 0.123198
Epoch 780/1000 | Avg Loss: 0.129705
Epoch 790/1000 | Avg Loss: 0.120488
Epoch 800/1000 | Avg Loss: 0.103998
Epoch 810/1000 | Avg Loss: 0.106069
Epoch 820/1000 | Avg Loss: 0.123241
Epoch 830/1000 | Avg Loss: 0.121204
Epoch 840/1000 | Avg Loss: 0.114147
Epoch 850/1000 | Avg Loss: 0.098222
Epoch 860/1000 | Avg Loss: 0.104853
Epoch 870/1000 | Avg Loss: 0.092793
Epoch 880/1000 | Avg Loss: 0.147624
Epoch 890/1000 | Avg Loss: 0.127892
Epoch 900/1000 | Avg Loss: 0.110122
Epoch 910/1000 | Avg Loss: 0.092934
Epoch 920/1000 | Avg Loss: 0.111933
Epoch 930/1000 | Avg Loss: 0.083893
Epoch 940/1000 | Avg Loss: 0.113785
Epoch 950/1000 | Avg Loss: 0.118860
Epoch 960/1000 | Avg Loss: 0.090356
Epoch 970/1000 | Avg Loss: 0.103087
Epoch 980/1000 | Avg Loss: 0.090320
Epoch 990/1000 | Avg Loss: 0.102845
Model saved to /home/gmh72/3DReconstruction/2DRelighting/output/auto/reflectance_autoencoder.pth
