data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 26.905472
Epoch 10/1000 | Avg Loss: 1.515149
Epoch 20/1000 | Avg Loss: 0.883388
Epoch 30/1000 | Avg Loss: 0.676079
Epoch 40/1000 | Avg Loss: 0.474693
Epoch 50/1000 | Avg Loss: 0.410400
Epoch 60/1000 | Avg Loss: 0.333222
Epoch 70/1000 | Avg Loss: 0.308131
Epoch 80/1000 | Avg Loss: 0.319578
Epoch 90/1000 | Avg Loss: 0.278106
Epoch 100/1000 | Avg Loss: 0.274362
Epoch 110/1000 | Avg Loss: 0.305891
Epoch 120/1000 | Avg Loss: 0.276139
Epoch 130/1000 | Avg Loss: 0.245464
Epoch 140/1000 | Avg Loss: 0.258719
Epoch 150/1000 | Avg Loss: 0.260134
Epoch 160/1000 | Avg Loss: 0.225695
Epoch 170/1000 | Avg Loss: 0.265806
Epoch 180/1000 | Avg Loss: 0.206379
Epoch 190/1000 | Avg Loss: 0.218316
Epoch 200/1000 | Avg Loss: 0.187640
Epoch 210/1000 | Avg Loss: 0.192670
Epoch 220/1000 | Avg Loss: 0.202954
Epoch 230/1000 | Avg Loss: 0.183190
Epoch 240/1000 | Avg Loss: 0.217034
Epoch 250/1000 | Avg Loss: 0.204147
Epoch 260/1000 | Avg Loss: 0.189298
Epoch 270/1000 | Avg Loss: 0.233621
Epoch 280/1000 | Avg Loss: 0.194394
Epoch 290/1000 | Avg Loss: 0.268926
Epoch 300/1000 | Avg Loss: 0.221091
Epoch 310/1000 | Avg Loss: 0.172649
Epoch 320/1000 | Avg Loss: 0.193956
Epoch 330/1000 | Avg Loss: 0.238355
Epoch 340/1000 | Avg Loss: 0.196231
Epoch 350/1000 | Avg Loss: 0.165882
Epoch 360/1000 | Avg Loss: 0.218336
Epoch 370/1000 | Avg Loss: 0.224801
Epoch 380/1000 | Avg Loss: 0.189774
Epoch 390/1000 | Avg Loss: 0.196620
Epoch 400/1000 | Avg Loss: 0.166179
Epoch 410/1000 | Avg Loss: 0.226081
Epoch 420/1000 | Avg Loss: 0.193136
Epoch 430/1000 | Avg Loss: 0.196276
Epoch 440/1000 | Avg Loss: 0.185821
Epoch 450/1000 | Avg Loss: 0.152650
Epoch 460/1000 | Avg Loss: 0.144161
Epoch 470/1000 | Avg Loss: 0.147443
Epoch 480/1000 | Avg Loss: 0.156448
Epoch 490/1000 | Avg Loss: 0.145011
Epoch 500/1000 | Avg Loss: 0.146448
Epoch 510/1000 | Avg Loss: 0.173820
Epoch 520/1000 | Avg Loss: 0.153559
Epoch 530/1000 | Avg Loss: 0.151065
Epoch 540/1000 | Avg Loss: 0.200551
Epoch 550/1000 | Avg Loss: 0.150892
Epoch 560/1000 | Avg Loss: 0.171679
Epoch 570/1000 | Avg Loss: 0.125523
Epoch 580/1000 | Avg Loss: 0.118519
Epoch 590/1000 | Avg Loss: 0.186801
Epoch 600/1000 | Avg Loss: 0.165258
Epoch 610/1000 | Avg Loss: 0.132721
Epoch 620/1000 | Avg Loss: 0.146050
Epoch 630/1000 | Avg Loss: 0.180244
Epoch 640/1000 | Avg Loss: 0.177594
Epoch 650/1000 | Avg Loss: 0.150505
Epoch 660/1000 | Avg Loss: 0.128252
Epoch 670/1000 | Avg Loss: 0.130739
Epoch 680/1000 | Avg Loss: 0.127455
Epoch 690/1000 | Avg Loss: 0.123253
Epoch 700/1000 | Avg Loss: 0.126113
Epoch 710/1000 | Avg Loss: 0.113552
Epoch 720/1000 | Avg Loss: 0.122675
Epoch 730/1000 | Avg Loss: 0.135890
Epoch 740/1000 | Avg Loss: 0.170067
Epoch 750/1000 | Avg Loss: 0.094629
Epoch 760/1000 | Avg Loss: 0.148764
Epoch 770/1000 | Avg Loss: 0.107314
Epoch 780/1000 | Avg Loss: 0.124598
Epoch 790/1000 | Avg Loss: 0.125145
Epoch 800/1000 | Avg Loss: 0.108328
Epoch 810/1000 | Avg Loss: 0.111367
Epoch 820/1000 | Avg Loss: 0.162566
Epoch 830/1000 | Avg Loss: 0.092649
Epoch 840/1000 | Avg Loss: 0.119023
Epoch 850/1000 | Avg Loss: 0.112341
Epoch 860/1000 | Avg Loss: 0.105296
Epoch 870/1000 | Avg Loss: 0.108812
Epoch 880/1000 | Avg Loss: 0.126292
Epoch 890/1000 | Avg Loss: 0.111271
Epoch 900/1000 | Avg Loss: 0.125113
Epoch 910/1000 | Avg Loss: 0.128564
Epoch 920/1000 | Avg Loss: 0.119985
Epoch 930/1000 | Avg Loss: 0.091173
Epoch 940/1000 | Avg Loss: 0.108400
Epoch 950/1000 | Avg Loss: 0.112038
Epoch 960/1000 | Avg Loss: 0.082222
Epoch 970/1000 | Avg Loss: 0.099531
Epoch 980/1000 | Avg Loss: 0.113428
Epoch 990/1000 | Avg Loss: 0.094765
Model saved to /home/gmh72/3DReconstruction/2DRelighting/output/auto/reflectance_autoencoder.pth
