data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 26.646535
Epoch 10/1000 | Avg Loss: 1.499267
Epoch 20/1000 | Avg Loss: 0.882540
Epoch 30/1000 | Avg Loss: 0.630292
Epoch 40/1000 | Avg Loss: 0.497934
Epoch 50/1000 | Avg Loss: 0.392937
Epoch 60/1000 | Avg Loss: 0.334083
Epoch 70/1000 | Avg Loss: 0.331351
Epoch 80/1000 | Avg Loss: 0.287258
Epoch 90/1000 | Avg Loss: 0.291211
Epoch 100/1000 | Avg Loss: 0.275330
Epoch 110/1000 | Avg Loss: 0.265222
Epoch 120/1000 | Avg Loss: 0.282001
Epoch 130/1000 | Avg Loss: 0.255018
Epoch 140/1000 | Avg Loss: 0.262490
Epoch 150/1000 | Avg Loss: 0.241609
Epoch 160/1000 | Avg Loss: 0.231782
Epoch 170/1000 | Avg Loss: 0.278909
Epoch 180/1000 | Avg Loss: 0.255336
Epoch 190/1000 | Avg Loss: 0.229382
Epoch 200/1000 | Avg Loss: 0.194691
Epoch 210/1000 | Avg Loss: 0.194735
Epoch 220/1000 | Avg Loss: 0.248903
Epoch 230/1000 | Avg Loss: 0.195560
Epoch 240/1000 | Avg Loss: 0.214967
Epoch 250/1000 | Avg Loss: 0.200337
Epoch 260/1000 | Avg Loss: 0.196949
Epoch 270/1000 | Avg Loss: 0.202469
Epoch 280/1000 | Avg Loss: 0.182764
Epoch 290/1000 | Avg Loss: 0.272114
Epoch 300/1000 | Avg Loss: 0.215454
Epoch 310/1000 | Avg Loss: 0.209552
Epoch 320/1000 | Avg Loss: 0.293162
Epoch 330/1000 | Avg Loss: 0.213549
Epoch 340/1000 | Avg Loss: 0.185142
Epoch 350/1000 | Avg Loss: 0.198955
Epoch 360/1000 | Avg Loss: 0.206814
Epoch 370/1000 | Avg Loss: 0.172020
Epoch 380/1000 | Avg Loss: 0.162000
Epoch 390/1000 | Avg Loss: 0.191038
Epoch 400/1000 | Avg Loss: 0.182529
Epoch 410/1000 | Avg Loss: 0.210277
Epoch 420/1000 | Avg Loss: 0.182656
Epoch 430/1000 | Avg Loss: 0.175498
Epoch 440/1000 | Avg Loss: 0.164332
Epoch 450/1000 | Avg Loss: 0.178166
Epoch 460/1000 | Avg Loss: 0.182594
Epoch 470/1000 | Avg Loss: 0.130254
Epoch 480/1000 | Avg Loss: 0.182459
Epoch 490/1000 | Avg Loss: 0.139300
Epoch 500/1000 | Avg Loss: 0.168099
Epoch 510/1000 | Avg Loss: 0.115499
Epoch 520/1000 | Avg Loss: 0.150673
Epoch 530/1000 | Avg Loss: 0.147405
Epoch 540/1000 | Avg Loss: 0.163080
Epoch 550/1000 | Avg Loss: 0.183408
Epoch 560/1000 | Avg Loss: 0.137587
Epoch 570/1000 | Avg Loss: 0.134948
Epoch 580/1000 | Avg Loss: 0.142253
Epoch 590/1000 | Avg Loss: 0.117526
Epoch 600/1000 | Avg Loss: 0.154113
Epoch 610/1000 | Avg Loss: 0.133857
Epoch 620/1000 | Avg Loss: 0.123530
Epoch 630/1000 | Avg Loss: 0.138048
Epoch 640/1000 | Avg Loss: 0.129718
Epoch 650/1000 | Avg Loss: 0.117651
Epoch 660/1000 | Avg Loss: 0.153199
Epoch 670/1000 | Avg Loss: 0.120042
Epoch 680/1000 | Avg Loss: 0.138836
Epoch 690/1000 | Avg Loss: 0.136291
Epoch 700/1000 | Avg Loss: 0.116644
Epoch 710/1000 | Avg Loss: 0.116372
Epoch 720/1000 | Avg Loss: 0.115563
Epoch 730/1000 | Avg Loss: 0.114626
Epoch 740/1000 | Avg Loss: 0.104018
Epoch 750/1000 | Avg Loss: 0.120016
Epoch 760/1000 | Avg Loss: 0.109938
Epoch 770/1000 | Avg Loss: 0.123937
Epoch 780/1000 | Avg Loss: 0.116413
Epoch 790/1000 | Avg Loss: 0.114549
Epoch 800/1000 | Avg Loss: 0.135902
Epoch 810/1000 | Avg Loss: 0.113777
Epoch 820/1000 | Avg Loss: 0.121869
Epoch 830/1000 | Avg Loss: 0.118219
Epoch 840/1000 | Avg Loss: 0.096952
Epoch 850/1000 | Avg Loss: 0.111955
Epoch 860/1000 | Avg Loss: 0.129999
Epoch 870/1000 | Avg Loss: 0.100484
Epoch 880/1000 | Avg Loss: 0.106856
Epoch 890/1000 | Avg Loss: 0.084959
Epoch 900/1000 | Avg Loss: 0.090304
Epoch 910/1000 | Avg Loss: 0.111565
Epoch 920/1000 | Avg Loss: 0.102078
Epoch 930/1000 | Avg Loss: 0.106286
Epoch 940/1000 | Avg Loss: 0.095271
Epoch 950/1000 | Avg Loss: 0.103289
Epoch 960/1000 | Avg Loss: 0.100245
Epoch 970/1000 | Avg Loss: 0.085131
Epoch 980/1000 | Avg Loss: 0.111477
Epoch 990/1000 | Avg Loss: 0.094567
Model saved to /home/gmh72/3DReconstruction/2DRelighting/output/auto/reflectance_autoencoder.pth
