data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 0.079822
Epoch 10/1000 | Avg Loss: 0.015997
Epoch 20/1000 | Avg Loss: 0.011415
Epoch 30/1000 | Avg Loss: 0.006500
Epoch 40/1000 | Avg Loss: 0.005123
Epoch 50/1000 | Avg Loss: 0.003584
Epoch 60/1000 | Avg Loss: 0.002848
Epoch 70/1000 | Avg Loss: 0.002481
Epoch 80/1000 | Avg Loss: 0.002021
Epoch 90/1000 | Avg Loss: 0.001752
Epoch 100/1000 | Avg Loss: 0.001457
Epoch 110/1000 | Avg Loss: 0.001264
Epoch 120/1000 | Avg Loss: 0.001148
Epoch 130/1000 | Avg Loss: 0.001142
Epoch 140/1000 | Avg Loss: 0.001153
Epoch 150/1000 | Avg Loss: 0.000955
Epoch 160/1000 | Avg Loss: 0.001024
Epoch 170/1000 | Avg Loss: 0.000975
Epoch 180/1000 | Avg Loss: 0.000805
Epoch 190/1000 | Avg Loss: 0.000878
Epoch 200/1000 | Avg Loss: 0.000788
Epoch 210/1000 | Avg Loss: 0.000721
Epoch 220/1000 | Avg Loss: 0.000721
Epoch 230/1000 | Avg Loss: 0.000725
Epoch 240/1000 | Avg Loss: 0.000738
Epoch 250/1000 | Avg Loss: 0.000655
Epoch 260/1000 | Avg Loss: 0.000769
Epoch 270/1000 | Avg Loss: 0.000691
Epoch 280/1000 | Avg Loss: 0.000665
Epoch 290/1000 | Avg Loss: 0.000744
Epoch 300/1000 | Avg Loss: 0.000746
Epoch 310/1000 | Avg Loss: 0.000687
Epoch 320/1000 | Avg Loss: 0.000725
Epoch 330/1000 | Avg Loss: 0.000688
Epoch 340/1000 | Avg Loss: 0.000707
Epoch 350/1000 | Avg Loss: 0.000638
Epoch 360/1000 | Avg Loss: 0.000618
Epoch 370/1000 | Avg Loss: 0.000565
Epoch 380/1000 | Avg Loss: 0.000594
Epoch 390/1000 | Avg Loss: 0.000599
Epoch 400/1000 | Avg Loss: 0.000587
Epoch 410/1000 | Avg Loss: 0.000583
Epoch 420/1000 | Avg Loss: 0.000593
Epoch 430/1000 | Avg Loss: 0.000502
Epoch 440/1000 | Avg Loss: 0.000579
Epoch 450/1000 | Avg Loss: 0.000545
Epoch 460/1000 | Avg Loss: 0.000523
Epoch 470/1000 | Avg Loss: 0.000507
Epoch 480/1000 | Avg Loss: 0.000501
Epoch 490/1000 | Avg Loss: 0.000483
Epoch 500/1000 | Avg Loss: 0.000539
Epoch 510/1000 | Avg Loss: 0.000503
Epoch 520/1000 | Avg Loss: 0.000501
Epoch 530/1000 | Avg Loss: 0.000460
Epoch 540/1000 | Avg Loss: 0.000443
Epoch 550/1000 | Avg Loss: 0.000396
Epoch 560/1000 | Avg Loss: 0.000495
Epoch 570/1000 | Avg Loss: 0.000402
Epoch 580/1000 | Avg Loss: 0.000452
Epoch 590/1000 | Avg Loss: 0.000386
Epoch 600/1000 | Avg Loss: 0.000426
Epoch 610/1000 | Avg Loss: 0.000487
Epoch 620/1000 | Avg Loss: 0.000451
Epoch 630/1000 | Avg Loss: 0.000432
Epoch 640/1000 | Avg Loss: 0.000427
Epoch 650/1000 | Avg Loss: 0.000414
Epoch 660/1000 | Avg Loss: 0.000377
Epoch 670/1000 | Avg Loss: 0.000457
Epoch 680/1000 | Avg Loss: 0.000374
Epoch 690/1000 | Avg Loss: 0.000403
Epoch 700/1000 | Avg Loss: 0.000389
Epoch 710/1000 | Avg Loss: 0.000435
Epoch 720/1000 | Avg Loss: 0.000376
Epoch 730/1000 | Avg Loss: 0.000371
Epoch 740/1000 | Avg Loss: 0.000392
Epoch 750/1000 | Avg Loss: 0.000382
Epoch 760/1000 | Avg Loss: 0.000374
Epoch 770/1000 | Avg Loss: 0.000376
Epoch 780/1000 | Avg Loss: 0.000374
Epoch 790/1000 | Avg Loss: 0.000355
Epoch 800/1000 | Avg Loss: 0.000410
Epoch 810/1000 | Avg Loss: 0.000343
Epoch 820/1000 | Avg Loss: 0.000363
Epoch 830/1000 | Avg Loss: 0.000342
Epoch 840/1000 | Avg Loss: 0.000347
Epoch 850/1000 | Avg Loss: 0.000438
Epoch 860/1000 | Avg Loss: 0.000343
Epoch 870/1000 | Avg Loss: 0.000361
Epoch 880/1000 | Avg Loss: 0.000350
Epoch 890/1000 | Avg Loss: 0.000398
Epoch 900/1000 | Avg Loss: 0.000380
Epoch 910/1000 | Avg Loss: 0.000346
Epoch 920/1000 | Avg Loss: 0.000360
Epoch 930/1000 | Avg Loss: 0.000324
Epoch 940/1000 | Avg Loss: 0.000331
Epoch 950/1000 | Avg Loss: 0.000305
Epoch 960/1000 | Avg Loss: 0.000353
Epoch 970/1000 | Avg Loss: 0.000314
Epoch 980/1000 | Avg Loss: 0.000326
Epoch 990/1000 | Avg Loss: 0.000322
Model saved to /home/gmh72/3DReconstruction/2DRelighting/output/auto/reflectance_autoencoder.pth
