data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 0.077720
Epoch 10/1000 | Avg Loss: 0.015810
Epoch 20/1000 | Avg Loss: 0.010805
Epoch 30/1000 | Avg Loss: 0.006586
Epoch 40/1000 | Avg Loss: 0.003982
Epoch 50/1000 | Avg Loss: 0.003178
Epoch 60/1000 | Avg Loss: 0.002856
Epoch 70/1000 | Avg Loss: 0.002537
Epoch 80/1000 | Avg Loss: 0.001860
Epoch 90/1000 | Avg Loss: 0.001736
Epoch 100/1000 | Avg Loss: 0.001525
Epoch 110/1000 | Avg Loss: 0.001556
Epoch 120/1000 | Avg Loss: 0.001352
Epoch 130/1000 | Avg Loss: 0.001273
Epoch 140/1000 | Avg Loss: 0.001174
Epoch 150/1000 | Avg Loss: 0.001073
Epoch 160/1000 | Avg Loss: 0.001059
Epoch 170/1000 | Avg Loss: 0.001058
Epoch 180/1000 | Avg Loss: 0.001050
Epoch 190/1000 | Avg Loss: 0.001006
Epoch 200/1000 | Avg Loss: 0.001114
Epoch 210/1000 | Avg Loss: 0.001012
Epoch 220/1000 | Avg Loss: 0.000808
Epoch 230/1000 | Avg Loss: 0.000880
Epoch 240/1000 | Avg Loss: 0.000761
Epoch 250/1000 | Avg Loss: 0.000850
Epoch 260/1000 | Avg Loss: 0.000821
Epoch 270/1000 | Avg Loss: 0.000760
Epoch 280/1000 | Avg Loss: 0.000824
Epoch 290/1000 | Avg Loss: 0.000781
Epoch 300/1000 | Avg Loss: 0.000816
Epoch 310/1000 | Avg Loss: 0.000803
Epoch 320/1000 | Avg Loss: 0.000829
Epoch 330/1000 | Avg Loss: 0.000782
Epoch 340/1000 | Avg Loss: 0.000823
Epoch 350/1000 | Avg Loss: 0.000749
Epoch 360/1000 | Avg Loss: 0.000732
Epoch 370/1000 | Avg Loss: 0.000761
Epoch 380/1000 | Avg Loss: 0.000725
Epoch 390/1000 | Avg Loss: 0.000755
Epoch 400/1000 | Avg Loss: 0.000730
Epoch 410/1000 | Avg Loss: 0.000754
Epoch 420/1000 | Avg Loss: 0.000770
Epoch 430/1000 | Avg Loss: 0.000732
Epoch 440/1000 | Avg Loss: 0.000705
Epoch 450/1000 | Avg Loss: 0.000704
Epoch 460/1000 | Avg Loss: 0.000722
Epoch 470/1000 | Avg Loss: 0.000715
Epoch 480/1000 | Avg Loss: 0.000674
Epoch 490/1000 | Avg Loss: 0.000647
Epoch 500/1000 | Avg Loss: 0.000678
Epoch 510/1000 | Avg Loss: 0.000626
Epoch 520/1000 | Avg Loss: 0.000658
Epoch 530/1000 | Avg Loss: 0.000667
Epoch 540/1000 | Avg Loss: 0.000712
Epoch 550/1000 | Avg Loss: 0.000705
Epoch 560/1000 | Avg Loss: 0.000698
Epoch 570/1000 | Avg Loss: 0.000689
Epoch 580/1000 | Avg Loss: 0.000655
Epoch 590/1000 | Avg Loss: 0.000639
Epoch 600/1000 | Avg Loss: 0.000667
Epoch 610/1000 | Avg Loss: 0.000602
Epoch 620/1000 | Avg Loss: 0.000622
Epoch 630/1000 | Avg Loss: 0.000616
Epoch 640/1000 | Avg Loss: 0.000689
Epoch 650/1000 | Avg Loss: 0.000612
Epoch 660/1000 | Avg Loss: 0.000582
Epoch 670/1000 | Avg Loss: 0.000541
Epoch 680/1000 | Avg Loss: 0.000497
Epoch 690/1000 | Avg Loss: 0.000514
Epoch 700/1000 | Avg Loss: 0.000534
Epoch 710/1000 | Avg Loss: 0.000481
Epoch 720/1000 | Avg Loss: 0.000489
Epoch 730/1000 | Avg Loss: 0.000495
Epoch 740/1000 | Avg Loss: 0.000518
Epoch 750/1000 | Avg Loss: 0.000495
Epoch 760/1000 | Avg Loss: 0.000510
Epoch 770/1000 | Avg Loss: 0.000511
Epoch 780/1000 | Avg Loss: 0.000471
Epoch 790/1000 | Avg Loss: 0.000369
Epoch 800/1000 | Avg Loss: 0.000366
Epoch 810/1000 | Avg Loss: 0.000401
Epoch 820/1000 | Avg Loss: 0.000370
Epoch 830/1000 | Avg Loss: 0.000368
Epoch 840/1000 | Avg Loss: 0.000364
Epoch 850/1000 | Avg Loss: 0.000357
Epoch 860/1000 | Avg Loss: 0.000353
Epoch 870/1000 | Avg Loss: 0.000344
Epoch 880/1000 | Avg Loss: 0.000388
Epoch 890/1000 | Avg Loss: 0.000379
Epoch 900/1000 | Avg Loss: 0.000374
Epoch 910/1000 | Avg Loss: 0.000363
Epoch 920/1000 | Avg Loss: 0.000347
Epoch 930/1000 | Avg Loss: 0.000315
Epoch 940/1000 | Avg Loss: 0.000349
Epoch 950/1000 | Avg Loss: 0.000342
Epoch 960/1000 | Avg Loss: 0.000338
Epoch 970/1000 | Avg Loss: 0.000366
Epoch 980/1000 | Avg Loss: 0.000291
Epoch 990/1000 | Avg Loss: 0.000342
Model saved to /home/gmh72/3DReconstruction/2DRelighting/output/auto/reflectance_autoencoder.pth
