data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 0.087590
Epoch 10/1000 | Avg Loss: 0.021047
Epoch 20/1000 | Avg Loss: 0.017393
Epoch 30/1000 | Avg Loss: 0.013236
Epoch 40/1000 | Avg Loss: 0.011930
Epoch 50/1000 | Avg Loss: 0.010985
Epoch 60/1000 | Avg Loss: 0.009678
Epoch 70/1000 | Avg Loss: 0.009050
Epoch 80/1000 | Avg Loss: 0.008141
Epoch 90/1000 | Avg Loss: 0.007583
Epoch 100/1000 | Avg Loss: 0.007076
Epoch 110/1000 | Avg Loss: 0.006754
Epoch 120/1000 | Avg Loss: 0.006507
Epoch 130/1000 | Avg Loss: 0.006223
Epoch 140/1000 | Avg Loss: 0.005735
Epoch 150/1000 | Avg Loss: 0.005598
Epoch 160/1000 | Avg Loss: 0.005436
Epoch 170/1000 | Avg Loss: 0.005425
Epoch 180/1000 | Avg Loss: 0.005317
Epoch 190/1000 | Avg Loss: 0.005297
Epoch 200/1000 | Avg Loss: 0.005268
Epoch 210/1000 | Avg Loss: 0.005246
Epoch 220/1000 | Avg Loss: 0.005107
Epoch 230/1000 | Avg Loss: 0.004966
Epoch 240/1000 | Avg Loss: 0.004977
Epoch 250/1000 | Avg Loss: 0.004711
Epoch 260/1000 | Avg Loss: 0.004674
Epoch 270/1000 | Avg Loss: 0.004632
Epoch 280/1000 | Avg Loss: 0.004549
Epoch 290/1000 | Avg Loss: 0.004577
Epoch 300/1000 | Avg Loss: 0.004479
Epoch 310/1000 | Avg Loss: 0.004247
Epoch 320/1000 | Avg Loss: 0.004177
Epoch 330/1000 | Avg Loss: 0.004263
Epoch 340/1000 | Avg Loss: 0.003925
Epoch 350/1000 | Avg Loss: 0.004032
Epoch 360/1000 | Avg Loss: 0.004028
Epoch 370/1000 | Avg Loss: 0.003929
Epoch 380/1000 | Avg Loss: 0.003903
Epoch 390/1000 | Avg Loss: 0.003970
Epoch 400/1000 | Avg Loss: 0.003939
Epoch 410/1000 | Avg Loss: 0.003891
Epoch 420/1000 | Avg Loss: 0.003948
Epoch 430/1000 | Avg Loss: 0.003867
Epoch 440/1000 | Avg Loss: 0.003884
Epoch 450/1000 | Avg Loss: 0.003820
Epoch 460/1000 | Avg Loss: 0.003862
Epoch 470/1000 | Avg Loss: 0.003841
Epoch 480/1000 | Avg Loss: 0.003912
Epoch 490/1000 | Avg Loss: 0.003759
Epoch 500/1000 | Avg Loss: 0.003779
Epoch 510/1000 | Avg Loss: 0.003874
Epoch 520/1000 | Avg Loss: 0.003688
Epoch 530/1000 | Avg Loss: 0.003684
Epoch 540/1000 | Avg Loss: 0.003695
Epoch 550/1000 | Avg Loss: 0.003689
Epoch 560/1000 | Avg Loss: 0.003685
Epoch 570/1000 | Avg Loss: 0.003668
Epoch 580/1000 | Avg Loss: 0.003710
Epoch 590/1000 | Avg Loss: 0.003657
Epoch 600/1000 | Avg Loss: 0.003650
Epoch 610/1000 | Avg Loss: 0.003597
Epoch 620/1000 | Avg Loss: 0.003595
Epoch 630/1000 | Avg Loss: 0.003722
Epoch 640/1000 | Avg Loss: 0.003576
Epoch 650/1000 | Avg Loss: 0.003559
Epoch 660/1000 | Avg Loss: 0.003513
Epoch 670/1000 | Avg Loss: 0.003632
Epoch 680/1000 | Avg Loss: 0.003514
Epoch 690/1000 | Avg Loss: 0.003469
Epoch 700/1000 | Avg Loss: 0.003376
Epoch 710/1000 | Avg Loss: 0.003330
Epoch 720/1000 | Avg Loss: 0.003322
Epoch 730/1000 | Avg Loss: 0.003374
Epoch 740/1000 | Avg Loss: 0.003331
Epoch 750/1000 | Avg Loss: 0.003289
Epoch 760/1000 | Avg Loss: 0.003253
Epoch 770/1000 | Avg Loss: 0.003280
Epoch 780/1000 | Avg Loss: 0.003263
Epoch 790/1000 | Avg Loss: 0.003266
Epoch 800/1000 | Avg Loss: 0.003216
Epoch 810/1000 | Avg Loss: 0.003213
Epoch 820/1000 | Avg Loss: 0.003214
Epoch 830/1000 | Avg Loss: 0.003220
Epoch 840/1000 | Avg Loss: 0.003184
Epoch 850/1000 | Avg Loss: 0.003166
Epoch 860/1000 | Avg Loss: 0.003181
Epoch 870/1000 | Avg Loss: 0.003188
Epoch 880/1000 | Avg Loss: 0.003059
Epoch 890/1000 | Avg Loss: 0.003086
Epoch 900/1000 | Avg Loss: 0.003071
Epoch 910/1000 | Avg Loss: 0.003095
Epoch 920/1000 | Avg Loss: 0.003029
Epoch 930/1000 | Avg Loss: 0.003069
Epoch 940/1000 | Avg Loss: 0.003080
Epoch 950/1000 | Avg Loss: 0.003022
Epoch 960/1000 | Avg Loss: 0.003019
Epoch 970/1000 | Avg Loss: 0.002974
Epoch 980/1000 | Avg Loss: 0.002956
Epoch 990/1000 | Avg Loss: 0.002985
