data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 74.376816
Epoch 10/1000 | Avg Loss: 16.877560
Epoch 20/1000 | Avg Loss: 11.878312
Epoch 30/1000 | Avg Loss: 9.047269
Epoch 40/1000 | Avg Loss: 7.222082
Epoch 50/1000 | Avg Loss: 6.289125
Epoch 60/1000 | Avg Loss: 5.756645
Epoch 70/1000 | Avg Loss: 5.303844
Epoch 80/1000 | Avg Loss: 4.890808
Epoch 90/1000 | Avg Loss: 4.598615
Epoch 100/1000 | Avg Loss: 4.253052
Epoch 110/1000 | Avg Loss: 3.921379
Epoch 120/1000 | Avg Loss: 3.771441
Epoch 130/1000 | Avg Loss: 3.793698
Epoch 140/1000 | Avg Loss: 3.460006
Epoch 150/1000 | Avg Loss: 3.245063
Epoch 160/1000 | Avg Loss: 3.096819
Epoch 170/1000 | Avg Loss: 2.959012
Epoch 180/1000 | Avg Loss: 2.879408
Epoch 190/1000 | Avg Loss: 2.899139
Epoch 200/1000 | Avg Loss: 2.921630
Epoch 210/1000 | Avg Loss: 2.859500
Epoch 220/1000 | Avg Loss: 2.799544
Epoch 230/1000 | Avg Loss: 2.796509
Epoch 240/1000 | Avg Loss: 2.823499
Epoch 250/1000 | Avg Loss: 2.733297
Epoch 260/1000 | Avg Loss: 2.722359
Epoch 270/1000 | Avg Loss: 2.743394
Epoch 280/1000 | Avg Loss: 2.637050
Epoch 290/1000 | Avg Loss: 2.618794
Epoch 300/1000 | Avg Loss: 2.611106
Epoch 310/1000 | Avg Loss: 2.558316
Epoch 320/1000 | Avg Loss: 2.517943
Epoch 330/1000 | Avg Loss: 2.527015
Epoch 340/1000 | Avg Loss: 2.303721
Epoch 350/1000 | Avg Loss: 2.413615
Epoch 360/1000 | Avg Loss: 2.329393
Epoch 370/1000 | Avg Loss: 2.261911
Epoch 380/1000 | Avg Loss: 2.245429
Epoch 390/1000 | Avg Loss: 2.185336
Epoch 400/1000 | Avg Loss: 2.223769
Epoch 410/1000 | Avg Loss: 2.275980
Epoch 420/1000 | Avg Loss: 2.107761
Epoch 430/1000 | Avg Loss: 2.114676
Epoch 440/1000 | Avg Loss: 2.147297
Epoch 450/1000 | Avg Loss: 2.062449
Epoch 460/1000 | Avg Loss: 2.103408
Epoch 470/1000 | Avg Loss: 1.983407
Epoch 480/1000 | Avg Loss: 1.947335
Epoch 490/1000 | Avg Loss: 1.972173
Epoch 500/1000 | Avg Loss: 1.961905
Epoch 510/1000 | Avg Loss: 1.959221
Epoch 520/1000 | Avg Loss: 1.821226
Epoch 530/1000 | Avg Loss: 1.830770
Epoch 540/1000 | Avg Loss: 1.844405
Epoch 550/1000 | Avg Loss: 1.855625
Epoch 560/1000 | Avg Loss: 1.782094
Epoch 570/1000 | Avg Loss: 1.785841
Epoch 580/1000 | Avg Loss: 1.827313
Epoch 590/1000 | Avg Loss: 1.771169
Epoch 600/1000 | Avg Loss: 1.759273
Epoch 610/1000 | Avg Loss: 1.791768
Epoch 620/1000 | Avg Loss: 1.762970
Epoch 630/1000 | Avg Loss: 1.844963
Epoch 640/1000 | Avg Loss: 1.672569
Epoch 650/1000 | Avg Loss: 1.605295
Epoch 660/1000 | Avg Loss: 1.553480
Epoch 670/1000 | Avg Loss: 1.565778
Epoch 680/1000 | Avg Loss: 1.569017
Epoch 690/1000 | Avg Loss: 1.565349
Epoch 700/1000 | Avg Loss: 1.560444
Epoch 710/1000 | Avg Loss: 1.520029
Epoch 720/1000 | Avg Loss: 1.537727
Epoch 730/1000 | Avg Loss: 1.528120
Epoch 740/1000 | Avg Loss: 1.484068
Epoch 750/1000 | Avg Loss: 1.425232
Epoch 760/1000 | Avg Loss: 1.509549
Epoch 770/1000 | Avg Loss: 1.530043
Epoch 780/1000 | Avg Loss: 1.446191
Epoch 790/1000 | Avg Loss: 1.465190
Epoch 800/1000 | Avg Loss: 1.451376
Epoch 810/1000 | Avg Loss: 1.441107
Epoch 820/1000 | Avg Loss: 1.391198
Epoch 830/1000 | Avg Loss: 1.468131
Epoch 840/1000 | Avg Loss: 1.362697
Epoch 850/1000 | Avg Loss: 1.397498
Epoch 860/1000 | Avg Loss: 1.397740
Epoch 870/1000 | Avg Loss: 1.375666
Epoch 880/1000 | Avg Loss: 1.345384
Epoch 890/1000 | Avg Loss: 1.267652
Epoch 900/1000 | Avg Loss: 1.271841
Epoch 910/1000 | Avg Loss: 1.243243
Epoch 920/1000 | Avg Loss: 1.301253
Epoch 930/1000 | Avg Loss: 1.237470
Epoch 940/1000 | Avg Loss: 1.266031
Epoch 950/1000 | Avg Loss: 1.270112
Epoch 960/1000 | Avg Loss: 1.262632
Epoch 970/1000 | Avg Loss: 1.249800
Epoch 980/1000 | Avg Loss: 1.244132
Epoch 990/1000 | Avg Loss: 1.222068
