data loaded!
lr: 0.0001
Epoch 0/1000 | Avg Loss: 41.227665
Epoch 10/1000 | Avg Loss: 2.325972
Epoch 20/1000 | Avg Loss: 1.369582
Epoch 30/1000 | Avg Loss: 0.945643
Epoch 40/1000 | Avg Loss: 0.700955
Epoch 50/1000 | Avg Loss: 0.605896
Epoch 60/1000 | Avg Loss: 0.598695
Epoch 70/1000 | Avg Loss: 0.492432
Epoch 80/1000 | Avg Loss: 0.517948
Epoch 90/1000 | Avg Loss: 0.471935
Epoch 100/1000 | Avg Loss: 0.439381
Epoch 110/1000 | Avg Loss: 0.425454
Epoch 120/1000 | Avg Loss: 0.369189
Epoch 130/1000 | Avg Loss: 0.396905
Epoch 140/1000 | Avg Loss: 0.402708
Epoch 150/1000 | Avg Loss: 0.364138
Epoch 160/1000 | Avg Loss: 0.333880
Epoch 170/1000 | Avg Loss: 0.402252
Epoch 180/1000 | Avg Loss: 0.397436
Epoch 190/1000 | Avg Loss: 0.306635
Epoch 200/1000 | Avg Loss: 0.366405
Epoch 210/1000 | Avg Loss: 0.317155
Epoch 220/1000 | Avg Loss: 0.367264
Epoch 230/1000 | Avg Loss: 0.438138
Epoch 240/1000 | Avg Loss: 0.353280
Epoch 250/1000 | Avg Loss: 0.376989
Epoch 260/1000 | Avg Loss: 0.370608
Epoch 270/1000 | Avg Loss: 0.351400
Epoch 280/1000 | Avg Loss: 0.382259
Epoch 290/1000 | Avg Loss: 0.278186
Epoch 300/1000 | Avg Loss: 0.320134
Epoch 310/1000 | Avg Loss: 0.291928
Epoch 320/1000 | Avg Loss: 0.299472
Epoch 330/1000 | Avg Loss: 0.289475
Epoch 340/1000 | Avg Loss: 0.298120
Epoch 350/1000 | Avg Loss: 0.249011
Epoch 360/1000 | Avg Loss: 0.343743
Epoch 370/1000 | Avg Loss: 0.331870
Epoch 380/1000 | Avg Loss: 0.261277
Epoch 390/1000 | Avg Loss: 0.250089
Epoch 400/1000 | Avg Loss: 0.341894
Epoch 410/1000 | Avg Loss: 0.243711
Epoch 420/1000 | Avg Loss: 0.306222
Epoch 430/1000 | Avg Loss: 0.230105
Epoch 440/1000 | Avg Loss: 0.311343
Epoch 450/1000 | Avg Loss: 0.242379
Epoch 460/1000 | Avg Loss: 0.238037
Epoch 470/1000 | Avg Loss: 0.285351
Epoch 480/1000 | Avg Loss: 0.219889
Epoch 490/1000 | Avg Loss: 0.256530
Epoch 500/1000 | Avg Loss: 0.253998
Epoch 510/1000 | Avg Loss: 0.214536
Epoch 520/1000 | Avg Loss: 0.210769
Epoch 530/1000 | Avg Loss: 0.218633
Epoch 540/1000 | Avg Loss: 0.213561
Epoch 550/1000 | Avg Loss: 0.220120
Epoch 560/1000 | Avg Loss: 0.233883
Epoch 570/1000 | Avg Loss: 0.229889
Epoch 580/1000 | Avg Loss: 0.212377
Epoch 590/1000 | Avg Loss: 0.241368
Epoch 600/1000 | Avg Loss: 0.210314
Epoch 610/1000 | Avg Loss: 0.199517
Epoch 620/1000 | Avg Loss: 0.204717
Epoch 630/1000 | Avg Loss: 0.199670
Epoch 640/1000 | Avg Loss: 0.224016
Epoch 650/1000 | Avg Loss: 0.193740
Epoch 660/1000 | Avg Loss: 0.180973
Epoch 670/1000 | Avg Loss: 0.195130
Epoch 680/1000 | Avg Loss: 0.244921
Epoch 690/1000 | Avg Loss: 0.280553
Epoch 700/1000 | Avg Loss: 0.222011
Epoch 710/1000 | Avg Loss: 0.231972
Epoch 720/1000 | Avg Loss: 0.225161
Epoch 730/1000 | Avg Loss: 0.176365
Epoch 740/1000 | Avg Loss: 0.218838
Epoch 750/1000 | Avg Loss: 0.203648
Epoch 760/1000 | Avg Loss: 0.164726
Epoch 770/1000 | Avg Loss: 0.175117
Epoch 780/1000 | Avg Loss: 0.225889
Epoch 790/1000 | Avg Loss: 0.188288
Epoch 800/1000 | Avg Loss: 0.183363
Epoch 810/1000 | Avg Loss: 0.217290
Epoch 820/1000 | Avg Loss: 0.201546
Epoch 830/1000 | Avg Loss: 0.167064
Epoch 840/1000 | Avg Loss: 0.193618
Epoch 850/1000 | Avg Loss: 0.174395
Epoch 860/1000 | Avg Loss: 0.166033
Epoch 870/1000 | Avg Loss: 0.232443
Epoch 880/1000 | Avg Loss: 0.154559
Epoch 890/1000 | Avg Loss: 0.189402
Epoch 900/1000 | Avg Loss: 0.151193
Epoch 910/1000 | Avg Loss: 0.181921
Epoch 920/1000 | Avg Loss: 0.162873
Epoch 930/1000 | Avg Loss: 0.190172
Epoch 940/1000 | Avg Loss: 0.175073
Epoch 950/1000 | Avg Loss: 0.161705
Epoch 960/1000 | Avg Loss: 0.125509
Epoch 970/1000 | Avg Loss: 0.145229
Epoch 980/1000 | Avg Loss: 0.128503
Epoch 990/1000 | Avg Loss: 0.164765
