✅ Data loaded!
Learning rate: 0.0001
Epoch 0/1000 | Avg Loss: 73.775827
Epoch 10/1000 | Avg Loss: 15.324063
Epoch 20/1000 | Avg Loss: 11.576791
Epoch 30/1000 | Avg Loss: 9.287559
Epoch 40/1000 | Avg Loss: 8.382485
Epoch 50/1000 | Avg Loss: 7.248666
Epoch 60/1000 | Avg Loss: 6.339746
Epoch 70/1000 | Avg Loss: 5.878701
Epoch 80/1000 | Avg Loss: 4.929975
Epoch 90/1000 | Avg Loss: 4.683437
Epoch 100/1000 | Avg Loss: 4.532265
Epoch 110/1000 | Avg Loss: 4.371527
Epoch 120/1000 | Avg Loss: 4.020884
Epoch 130/1000 | Avg Loss: 3.915381
Epoch 140/1000 | Avg Loss: 3.773369
Epoch 150/1000 | Avg Loss: 3.776257
Epoch 160/1000 | Avg Loss: 3.714149
Epoch 170/1000 | Avg Loss: 3.645742
Epoch 180/1000 | Avg Loss: 3.549337
Epoch 190/1000 | Avg Loss: 3.559674
Epoch 200/1000 | Avg Loss: 3.457273
Epoch 210/1000 | Avg Loss: 3.459273
Epoch 220/1000 | Avg Loss: 3.397708
Epoch 230/1000 | Avg Loss: 3.204340
Epoch 240/1000 | Avg Loss: 3.127268
Epoch 250/1000 | Avg Loss: 3.039079
Epoch 260/1000 | Avg Loss: 2.978901
Epoch 270/1000 | Avg Loss: 2.957395
Epoch 280/1000 | Avg Loss: 2.931720
Epoch 290/1000 | Avg Loss: 2.953584
Epoch 300/1000 | Avg Loss: 2.644653
Epoch 310/1000 | Avg Loss: 2.734254
Epoch 320/1000 | Avg Loss: 2.675399
Epoch 330/1000 | Avg Loss: 2.468566
Epoch 340/1000 | Avg Loss: 2.448086
Epoch 350/1000 | Avg Loss: 2.437015
Epoch 360/1000 | Avg Loss: 2.441588
Epoch 370/1000 | Avg Loss: 2.528893
Epoch 380/1000 | Avg Loss: 2.401841
Epoch 390/1000 | Avg Loss: 2.383720
Epoch 400/1000 | Avg Loss: 2.319541
Epoch 410/1000 | Avg Loss: 2.271118
Epoch 420/1000 | Avg Loss: 2.234836
Epoch 430/1000 | Avg Loss: 2.290257
Epoch 440/1000 | Avg Loss: 2.277575
Epoch 450/1000 | Avg Loss: 2.248526
Epoch 460/1000 | Avg Loss: 2.320267
Epoch 470/1000 | Avg Loss: 2.250918
Epoch 480/1000 | Avg Loss: 2.229805
Epoch 490/1000 | Avg Loss: 2.239012
Epoch 500/1000 | Avg Loss: 2.170451
Epoch 510/1000 | Avg Loss: 2.292827
Epoch 520/1000 | Avg Loss: 2.196806
Epoch 530/1000 | Avg Loss: 2.174104
Epoch 540/1000 | Avg Loss: 2.071896
Epoch 550/1000 | Avg Loss: 2.085078
Epoch 560/1000 | Avg Loss: 2.070009
Epoch 570/1000 | Avg Loss: 2.074275
Epoch 580/1000 | Avg Loss: 2.136776
Epoch 590/1000 | Avg Loss: 2.093681
Epoch 600/1000 | Avg Loss: 2.088112
Epoch 610/1000 | Avg Loss: 2.075819
Epoch 620/1000 | Avg Loss: 2.099645
Epoch 630/1000 | Avg Loss: 2.060168
Epoch 640/1000 | Avg Loss: 2.019272
Epoch 650/1000 | Avg Loss: 1.833938
Epoch 660/1000 | Avg Loss: 1.788853
Epoch 670/1000 | Avg Loss: 1.828256
Epoch 680/1000 | Avg Loss: 1.859349
Epoch 690/1000 | Avg Loss: 1.834121
Epoch 700/1000 | Avg Loss: 1.796530
Epoch 710/1000 | Avg Loss: 1.809371
Epoch 720/1000 | Avg Loss: 1.802152
Epoch 730/1000 | Avg Loss: 1.820421
Epoch 740/1000 | Avg Loss: 1.824840
Epoch 750/1000 | Avg Loss: 1.733413
Epoch 760/1000 | Avg Loss: 1.795502
Epoch 770/1000 | Avg Loss: 1.783303
Epoch 780/1000 | Avg Loss: 1.731315
Epoch 790/1000 | Avg Loss: 1.776313
Epoch 800/1000 | Avg Loss: 1.748256
Epoch 810/1000 | Avg Loss: 1.741895
Epoch 820/1000 | Avg Loss: 1.755362
Epoch 830/1000 | Avg Loss: 1.731752
Epoch 840/1000 | Avg Loss: 1.676850
Epoch 850/1000 | Avg Loss: 1.722030
Epoch 860/1000 | Avg Loss: 1.717755
Epoch 870/1000 | Avg Loss: 1.728558
Epoch 880/1000 | Avg Loss: 1.671575
Epoch 890/1000 | Avg Loss: 1.729977
Epoch 900/1000 | Avg Loss: 1.680033
Epoch 910/1000 | Avg Loss: 1.690951
Epoch 920/1000 | Avg Loss: 1.692801
Epoch 930/1000 | Avg Loss: 1.678127
Epoch 940/1000 | Avg Loss: 1.655600
Epoch 950/1000 | Avg Loss: 1.667193
Epoch 960/1000 | Avg Loss: 1.680617
Epoch 970/1000 | Avg Loss: 1.645484
Epoch 980/1000 | Avg Loss: 1.632491
Epoch 990/1000 | Avg Loss: 1.658374
